,0
0,ADAUSDT
1,APEUSDT
2,APTUSDT
3,ATOMUSDT
4,AVAXUSDT
5,AXSUSDT
6,BICOUSDT
7,BTCUSDT
8,CHZUSDT
9,DOGEUSDT
10,DOTUSDT
11,ENJUSDT
12,ENSUSDT
13,ETHUSDT
14,FETUSDT
15,FLOWUSDT
16,GMTUSDT
17,HBARUSDT
18,ICPUSDT
19,IMXUSDT
20,JASMYUSDT
21,LINKUSDT
22,LRCUSDT
23,MASKUSDT
24,MATICUSDT
25,MINAUSDT
26,NEARUSDT
27,OPUSDT
28,QNTUSDT
29,RNDRUSDT
30,ROSEUSDT
31,SANDUSDT
32,SHIBUSDT
33,SOLUSDT
34,STXUSDT
35,XLMUSDT
36,XRPUSDT
